City,latitude,longitude,Temperature,Humidity,Wind Speed,Cloudiness
ushuaia,-88.76281513133509,-42.546421171833714,33.8,86.0,6.93,20.0
kruisfontein,-87.05838656822984,30.369351618500275,54.47,86.0,19.71,32.0
bluff,-86.70265702535495,165.6308461080896,63.56,30.0,4.83,0.0
vaini,-81.69162311932354,-169.90337119633296,69.41,98.0,8.14,100.0
hobart,-80.36128448040012,150.30252463903338,53.6,66.0,19.46,40.0
kaitangata,-68.81159909276825,176.70251639312238,50.24,96.0,4.27,32.0
hermanus,-62.7303054548471,7.379416300873942,35.66,100.0,2.77,32.0
chuy,-56.56371684778828,-31.99741843209796,56.0,80.0,17.92,0.0
bredasdorp,-55.15189959488364,18.792906312825437,41.0,93.0,8.14,80.0
portland,-53.83882669814614,131.30261184768415,93.97,28.0,10.29,40.0
tuatapere,-53.77204818574914,160.76109384796223,47.45,100.0,4.12,92.0
albany,-51.26519551190816,114.96608975933862,75.54,88.0,2.89,90.0
castro,-50.54865248051663,-109.09755683157925,40.07,100.0,3.89,20.0
dunedin,-50.06882627645299,173.46654913653356,48.62,88.0,3.89,36.0
christchurch,-47.33024117920614,177.24515348289373,55.4,66.0,4.7,92.0
saint-philippe,-45.77505427354486,65.1498055747042,76.51,69.0,6.93,1.0
esperance,-45.17028365779797,123.48643084177576,80.6,88.0,6.93,20.0
wanaka,-44.31424936778475,168.46969843059713,45.47,77.0,2.82,8.0
margate,-43.75559096165705,43.16153224839971,53.6,66.0,19.46,40.0
souillac,-43.401758020941614,70.88824648343211,66.2,77.0,5.82,0.0
waipawa,-42.80835056079672,175.93730947449603,54.74,85.0,6.91,88.0
laguna,-42.76511563897782,-32.076784760404394,87.8,55.0,11.41,75.0
hokitika,-41.714116445392925,168.1744578539936,50.87,100.0,5.57,92.0
launceston,-41.42872220149095,151.58367528755008,51.8,71.0,19.46,75.0
viedma,-40.78685532276784,-64.39984628900714,47.72,87.0,19.6,92.0
ancud,-40.64220736235333,-78.31327247564359,39.98,89.0,4.0,36.0
neuquen,-39.444781851836325,-69.86810404864826,51.8,31.0,8.05,0.0
cidreira,-38.96040093619942,-40.91899023939027,56.27,89.0,13.96,0.0
ulladulla,-38.26041493152151,153.59722792979255,59.0,98.0,19.46,0.0
ahipara,-36.9947224271379,166.50233085631578,56.27,99.0,14.18,92.0
jamestown,-35.83067921434928,-9.550017923109806,50.6,87.0,15.9,88.0
rocha,-35.79485324940791,-52.98095274703391,56.9,76.0,12.06,0.0
george,-35.50475818616611,22.261805136324256,77.0,83.0,2.24,40.0
saint-joseph,-35.005122317330134,56.555360983681595,74.59,83.0,2.24,0.0
saldanha,-34.9276457546363,5.003770541599039,58.7,78.0,3.04,0.0
