,Sentiment Points,BBC Compound Sentiment,BBC Positive Sentiment,BBC Negative Sentiment,BBC Neutral Sentiment,CBS Compound Sentiment,CBS Positive Sentiment,CBS Negative Sentiment,CBS Neutral Sentiment,CNN Compound Sentiment,CNN Positive Sentiment,CNN Negative Sentiment,CNN Neutral Sentiment,Fox Compound Sentiment,Fox Positive Sentiment,Fox Negative Sentiment,Fox Neutral Sentiment,@nytimes Compound Sentiment,@nytimes Positive Sentiment,@nytimes Negative Sentiment,@nytimes Neutral Sentiment
0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.6597,0.074,0.278,0.648,0.4019,0.153,0.0,0.847,0.0,0.0,0.0,1.0
1,1,-0.3612,0.146,0.215,0.639,0.3612,0.111,0.0,0.889,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2,2,0.0,0.0,0.0,1.0,0.5411,0.219,0.098,0.683,-0.7269,0.0,0.319,0.681,0.4404,0.132,0.0,0.868,0.4019,0.114,0.0,0.886
3,3,0.0,0.0,0.0,1.0,0.3818,0.106,0.0,0.894,0.0,0.0,0.0,1.0,0.7574,0.245,0.0,0.755,0.0,0.0,0.0,1.0
4,4,0.0,0.0,0.0,1.0,0.5093,0.155,0.0,0.845,0.0,0.0,0.0,1.0,0.4199,0.482,0.0,0.518,0.0,0.0,0.0,1.0
5,5,0.2263,0.091,0.0,0.909,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4199,0.583,0.0,0.417,0.0,0.0,0.0,1.0
6,6,0.0,0.0,0.0,1.0,0.8316,0.306,0.0,0.694,0.0,0.0,0.0,1.0,0.7574,0.276,0.0,0.724,0.4019,0.351,0.0,0.649
7,7,0.3291,0.135,0.0,0.865,0.0,0.0,0.0,1.0,-0.6124,0.0,0.167,0.833,0.8626,0.551,0.0,0.449,-0.3612,0.0,0.128,0.872
8,8,0.1255,0.11,0.089,0.801,0.5994,0.157,0.0,0.843,-0.6249,0.0,0.186,0.814,0.5095,0.148,0.0,0.852,0.5859,0.167,0.0,0.833
9,9,0.3612,0.106,0.0,0.894,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8395,0.562,0.0,0.438,0.5849,0.242,0.0,0.758
10,10,0.0,0.0,0.0,1.0,-0.5106,0.0,0.13,0.87,-0.4767,0.0,0.129,0.871,0.4199,0.482,0.0,0.518,0.4019,0.137,0.0,0.863
11,11,-0.128,0.139,0.164,0.697,0.5826,0.173,0.0,0.827,0.4019,0.156,0.0,0.844,0.5106,0.191,0.0,0.809,0.0,0.0,0.0,1.0
